replicate,sampled_raw_file_count,sampled_window_count,cost_minus_argmax_rmse
728,80,1355,-0.12447175637223395
729,80,1384,-0.5123123721110687
730,80,1364,-3.304123222985165
731,80,1357,2.6831902777422982
732,80,1373,3.0574288460581194
733,80,1365,-1.1513250167132973
734,80,1362,0.011881089048081606
735,80,1358,0.46223234401612956
736,80,1374,-0.1614995264142678
737,80,1362,0.32670587277723584
738,80,1374,2.4112886022126077
739,80,1361,2.0146565266402625
740,80,1345,2.3192908725352197
741,80,1358,0.5973983345281297
742,80,1365,1.6260757790387714
743,80,1366,-1.148292036094638
744,80,1353,-1.1123601755719186
745,80,1353,4.712513255104735
746,80,1366,0.6182224592387158
747,80,1359,-0.6984900872688904
748,80,1360,0.2658216303152763
749,80,1361,0.6328995458307958
750,80,1355,-1.045525309749074
751,80,1373,-0.7961826086097332
752,80,1361,-0.8452407993677937
753,80,1360,-0.2037200044629195
754,80,1366,-2.4573045646536933
755,80,1365,0.36644901912232797
756,80,1372,-0.42194245919869644
757,80,1359,1.9155519101534608
758,80,1347,1.3933253470754998
759,80,1364,0.7003475572429991
760,80,1357,1.0688964083043437
761,80,1359,2.6475246266552688
762,80,1348,-1.4030339652750996
763,80,1378,-0.5285940861407745
764,80,1372,0.006782015457343249
765,80,1351,2.1372732153235
766,80,1372,1.1660614812161683
767,80,1374,-0.3892413320766046
768,80,1367,-2.104776235277342
769,80,1370,-0.577830315115115
770,80,1370,-0.9272737130334185
771,80,1325,1.4148509014069184
772,80,1359,1.1184609815319213
773,80,1356,-1.0002758164580072
774,80,1358,0.8348789301428212
775,80,1365,-2.229833731395182
776,80,1353,1.48686990675629
777,80,1338,2.5145995808772525
778,80,1357,0.13480034370312666
779,80,1339,0.31803119018379533
780,80,1330,-0.6755118894366454
781,80,1363,-1.2017437988150839
782,80,1355,0.7290298120167904
783,80,1364,-2.3862764733806365
784,80,1348,-0.9175208958611449
785,80,1371,0.9173843225810927
786,80,1338,0.5997710012157249
787,80,1348,1.57748181985707
788,80,1340,-0.06511966833145522
789,80,1379,-0.3219705748709387
790,80,1364,1.53680990578097
791,80,1368,-1.1476776283953107
792,80,1345,-0.8298850447169457
793,80,1370,1.4178454078874445
794,80,1367,1.2167829695923196
795,80,1360,1.2251343125654337
796,80,1358,-0.9298137962940451
797,80,1341,-0.307403283181646
798,80,1371,-0.6376541674981695
799,80,1373,-1.9707696572721929
800,80,1361,3.432240066012021
801,80,1348,-0.5253788505108332
802,80,1337,-0.19707269603619437
803,80,1372,-0.23992248028635288
804,80,1343,-1.3692450387436033
805,80,1351,-1.5512476541323998
806,80,1354,2.0853254135622876
807,80,1349,-2.073462489689639
808,80,1388,-1.3616835111495895
809,80,1387,7.627360623496386
810,80,1361,1.5798593839985813
811,80,1351,0.7980478720404456
812,80,1353,1.7258899821608118
813,80,1364,3.07017635071967
814,80,1363,-0.7586505492628923
815,80,1353,0.8836030086647639
816,80,1367,1.5361127563158412
817,80,1378,-1.0743628701348378
818,80,1357,-0.06224777041756013
819,80,1385,0.646184042576774
820,80,1359,-1.2881579778856853
821,80,1360,-0.508600965611862
822,80,1367,0.7037688012091721
823,80,1346,1.1849556468699518
824,80,1351,2.856521298538709
825,80,1374,-1.243978118873244
826,80,1363,1.3045671227653095
827,80,1375,-1.0642377613714409
828,80,1366,1.7059105766394822
829,80,1370,-1.0460912858894424
830,80,1388,0.768952639722631
831,80,1358,0.11404793551136905
832,80,1355,1.378931356909117
833,80,1359,0.671482788332689
834,80,1364,-0.34823879211787556
835,80,1359,0.3770215277488198
836,80,1362,1.7055778960031134
837,80,1361,1.1764127416127153
838,80,1360,0.6772928245776484
839,80,1374,1.0981998743727885
840,80,1370,-0.12337057320511491
841,80,1355,-0.8161826746097205
842,80,1361,-0.6468283315482672
843,80,1366,-0.5220630272468476
844,80,1338,0.039707930062288455
845,80,1351,-1.916748751235744
846,80,1351,-0.5564398475565611
847,80,1351,0.4525689171693301
848,80,1359,1.019992874432944
849,80,1368,0.1165195575480773
850,80,1352,0.757395603259873
851,80,1353,1.741781620685451
